,0
699,600466.SH
700,600491.SH
701,600496.SH
702,600518.SH
703,600530.SH
704,600532.SH
705,600540.SH
706,600546.SH
707,600563.SH
708,600566.SH
709,600584.SH
710,600593.SH
711,600753.SH
712,600759.SH
713,600782.SH
714,600789.SH
715,600793.SH
716,600800.SH
717,600804.SH
718,600859.SH
719,600873.SH
720,600889.SH
721,600977.SH
722,600999.SH
723,601028.SH
724,601107.SH
725,601186.SH
726,601212.SH
727,601238.SH
728,601599.SH
729,601669.SH
730,601798.SH
731,601799.SH
732,601801.SH
733,601881.SH
734,601933.SH
735,601965.SH
736,601988.SH
737,601998.SH
738,603005.SH
739,603225.SH
740,603328.SH
741,603333.SH
742,603345.SH
743,603369.SH
744,603505.SH
745,601800.SH
746,601877.SH
747,601918.SH
748,601919.SH
749,601968.SH
750,601996.SH
751,603023.SH
752,603030.SH
753,603233.SH
754,603318.SH
755,603335.SH
756,603377.SH
757,603387.SH
758,603388.SH
759,603398.SH
760,603444.SH
761,603488.SH
762,603535.SH
763,603585.SH
764,603633.SH
765,603688.SH
766,603689.SH
767,603701.SH
768,603727.SH
769,603738.SH
770,603838.SH
771,603926.SH
772,603996.SH
773,000011.SZ
774,000014.SZ
775,000048.SZ
776,000153.SZ
777,000415.SZ
778,000418.SZ
779,000419.SZ
780,000513.SZ
781,000526.SZ
782,000536.SZ
783,000568.SZ
784,000593.SZ
785,000619.SZ
786,000657.SZ
787,000718.SZ
788,000720.SZ
789,000722.SZ
790,000729.SZ
791,000733.SZ
792,000776.SZ
793,000786.SZ
794,000831.SZ
795,000885.SZ
796,000915.SZ
797,000921.SZ
798,000949.SZ
799,000990.SZ
800,002008.SZ
801,002028.SZ
802,600020.SH
803,600028.SH
804,600036.SH
805,600054.SH
806,600091.SH
807,600105.SH
808,600111.SH
809,600123.SH
810,600139.SH
811,600146.SH
812,600148.SH
813,600156.SH
814,600165.SH
815,600172.SH
816,600195.SH
817,600246.SH
818,600275.SH
819,600353.SH
820,600358.SH
821,600378.SH
822,600382.SH
823,600396.SH
824,600403.SH
825,600422.SH
826,600428.SH
827,600456.SH
828,600458.SH
829,600459.SH
830,600486.SH
831,600489.SH
832,600497.SH
833,600539.SH
834,600551.SH
835,600612.SH
836,600613.SH
837,600636.SH
838,600638.SH
839,600671.SH
840,600673.SH
841,600678.SH
842,600684.SH
843,600740.SH
844,600760.SH
845,600763.SH
846,600828.SH
847,600835.SH
848,600872.SH
849,600892.SH
850,600970.SH
851,600997.SH
852,601009.SH
853,601116.SH
854,601118.SH
855,601288.SH
856,601567.SH
857,601595.SH
858,601700.SH
859,601866.SH
860,601901.SH
861,603001.SH
862,603029.SH
863,603036.SH
864,603067.SH
865,603081.SH
866,603027.SH
867,603042.SH
868,603116.SH
869,603126.SH
870,603159.SH
871,603169.SH
872,603179.SH
873,603232.SH
874,603277.SH
875,603298.SH
876,603308.SH
877,603339.SH
878,603363.SH
879,603558.SH
880,603566.SH
881,603569.SH
882,603586.SH
883,603637.SH
884,603663.SH
885,603703.SH
886,603707.SH
887,603737.SH
888,603828.SH
889,603993.SH
890,000025.SZ
891,000043.SZ
892,000407.SZ
893,000411.SZ
894,000423.SZ
895,000430.SZ
896,000502.SZ
897,000519.SZ
898,000545.SZ
899,000551.SZ
900,000559.SZ
901,000561.SZ
902,000570.SZ
903,000571.SZ
904,000592.SZ
905,000637.SZ
906,000663.SZ
907,000676.SZ
908,000681.SZ
909,000753.SZ
910,000778.SZ
911,000797.SZ
912,000798.SZ
913,000803.SZ
914,000811.SZ
915,000816.SZ
916,000821.SZ
917,000830.SZ
918,000886.SZ
919,000917.SZ
920,000919.SZ
921,000923.SZ
922,002009.SZ
923,002031.SZ
924,002033.SZ
925,000901.SZ
926,000903.SZ
927,000939.SZ
928,000978.SZ
929,000982.SZ
930,002010.SZ
931,002019.SZ
932,002022.SZ
933,603518.SH
934,603533.SH
935,603588.SH
936,603595.SH
937,603660.SH
938,603669.SH
939,603725.SH
940,603758.SH
941,603798.SH
942,603811.SH
943,603816.SH
944,603825.SH
945,603839.SH
946,603843.SH
947,603859.SH
948,603900.SH
949,603919.SH
950,603939.SH
951,603980.SH
952,603997.SH
953,000002.SZ
954,000022.SZ
955,000028.SZ
956,000046.SZ
957,000058.SZ
958,000068.SZ
959,000099.SZ
960,000166.SZ
961,000410.SZ
962,000428.SZ
963,000524.SZ
964,000589.SZ
965,000611.SZ
966,000632.SZ
967,000636.SZ
968,000685.SZ
969,000686.SZ
970,000785.SZ
971,000795.SZ
972,000818.SZ
973,000820.SZ
974,000822.SZ
975,000905.SZ
976,000910.SZ
977,000931.SZ
978,000951.SZ
979,000952.SZ
980,000971.SZ
981,000973.SZ
982,000999.SZ
983,002024.SZ
984,002030.SZ
985,600018.SH
986,600006.SH
987,600029.SH
988,600012.SH
989,600060.SH
990,600100.SH
991,600115.SH
992,600122.SH
993,600133.SH
994,600136.SH
995,600149.SH
996,600151.SH
997,600215.SH
998,600223.SH
999,600247.SH
1000,600256.SH
1001,600259.SH
1002,600299.SH
1003,600303.SH
1004,600331.SH
1005,600352.SH
1006,600370.SH
1007,600381.SH
1008,600483.SH
1009,600487.SH
1010,600501.SH
1011,600505.SH
1012,600521.SH
1013,600526.SH
1014,600528.SH
1015,600529.SH
1016,600535.SH
1017,600545.SH
1018,600552.SH
1019,600559.SH
1020,600579.SH
1021,600609.SH
1022,600624.SH
1023,600648.SH
1024,600690.SH
1025,600691.SH
1026,600695.SH
1027,600706.SH
1028,600707.SH
1029,600725.SH
1030,600735.SH
1031,600743.SH
1032,600750.SH
1033,600795.SH
1034,600824.SH
1035,600846.SH
1036,600858.SH
1037,600885.SH
1038,600887.SH
1039,600900.SH
1040,600986.SH
1041,600992.SH
1042,601006.SH
1043,601018.SH
1044,601069.SH
1045,601126.SH
1046,601169.SH
1047,601199.SH
1048,601200.SH
1049,600015.SH
1050,600023.SH
1051,600035.SH
1052,600037.SH
1053,600053.SH
1054,600074.SH
1055,600075.SH
1056,600090.SH
1057,600095.SH
1058,600097.SH
1059,600171.SH
1060,600173.SH
1061,600199.SH
1062,600217.SH
1063,600277.SH
1064,600343.SH
1065,600362.SH
1066,600409.SH
1067,600418.SH
1068,600436.SH
1069,600438.SH
1070,600444.SH
1071,600448.SH
1072,600460.SH
1073,600462.SH
1074,600476.SH
1075,600500.SH
1076,600506.SH
1077,600515.SH
1078,600520.SH
1079,600558.SH
1080,600565.SH
1081,600569.SH
1082,600598.SH
1083,600608.SH
1084,600610.SH
1085,600634.SH
1086,600651.SH
1087,600652.SH
1088,600665.SH
1089,600694.SH
1090,600697.SH
1091,600754.SH
1092,600773.SH
1093,600781.SH
1094,600785.SH
1095,600794.SH
1096,600798.SH
1097,600850.SH
1098,600881.SH
1099,600882.SH
1100,600893.SH
1101,600969.SH
1102,600971.SH
1103,600975.SH
1104,600979.SH
1105,600988.SH
1106,600995.SH
1107,601100.SH
1108,601106.SH
1109,601333.SH
1110,600038.SH
1111,600055.SH
1112,600067.SH
1113,600068.SH
1114,600070.SH
1115,600191.SH
1116,600193.SH
1117,600198.SH
1118,600212.SH
1119,600227.SH
1120,600232.SH
1121,600252.SH
1122,600258.SH
1123,600329.SH
1124,600386.SH
1125,600398.SH
1126,600425.SH
1127,600426.SH
1128,600446.SH
1129,600478.SH
1130,600536.SH
1131,600543.SH
1132,600549.SH
1133,600557.SH
1134,600562.SH
1135,600592.SH
1136,600599.SH
1137,600604.SH
1138,600622.SH
1139,600662.SH
1140,600686.SH
1141,600704.SH
1142,600713.SH
1143,600728.SH
1144,600729.SH
1145,600747.SH
1146,600770.SH
1147,600791.SH
1148,600803.SH
1149,600826.SH
1150,600830.SH
1151,600854.SH
1152,600857.SH
1153,600866.SH
1154,600958.SH
1155,600962.SH
1156,601003.SH
1157,601010.SH
1158,601016.SH
1159,601216.SH
1160,601228.SH
1161,601518.SH
1162,601890.SH
1163,603032.SH
1164,603040.SH
1165,603096.SH
1166,603108.SH
1167,603197.SH
1168,603288.SH
1169,603359.SH
1170,600064.SH
1171,600079.SH
1172,600089.SH
1173,600103.SH
1174,600108.SH
1175,600127.SH
1176,600128.SH
1177,600153.SH
1178,600155.SH
1179,600188.SH
1180,600197.SH
1181,600210.SH
1182,600235.SH
1183,600285.SH
1184,600311.SH
1185,600319.SH
1186,600359.SH
1187,600361.SH
1188,600367.SH
1189,600388.SH
1190,600397.SH
1191,600401.SH
1192,600475.SH
1193,600479.SH
1194,600488.SH
1195,600503.SH
1196,600509.SH
1197,600576.SH
1198,600586.SH
1199,600630.SH
1200,600643.SH
1201,600688.SH
1202,600692.SH
1203,600693.SH
1204,600705.SH
1205,600710.SH
1206,600711.SH
1207,600712.SH
1208,600723.SH
1209,600734.SH
1210,600741.SH
1211,600748.SH
1212,600769.SH
1213,600774.SH
1214,600808.SH
1215,600810.SH
1216,600819.SH
1217,600960.SH
1218,600976.SH
1219,600993.SH
1220,601101.SH
1221,601198.SH
1222,601225.SH
1223,601566.SH
1224,601579.SH
1225,601666.SH
1226,601898.SH
1227,601900.SH
1228,601908.SH
1229,603038.SH
1230,603043.SH
1231,603058.SH
1232,603077.SH
1233,600021.SH
1234,600022.SH
1235,600048.SH
1236,600083.SH
1237,600101.SH
1238,600106.SH
1239,600107.SH
1240,600110.SH
1241,600121.SH
1242,600125.SH
1243,600145.SH
1244,600159.SH
1245,600162.SH
1246,600170.SH
1247,600216.SH
1248,600226.SH
1249,600257.SH
1250,600262.SH
1251,600270.SH
1252,600297.SH
1253,600315.SH
1254,600355.SH
1255,600432.SH
1256,600455.SH
1257,600485.SH
1258,600517.SH
1259,600533.SH
1260,600597.SH
1261,600615.SH
1262,600637.SH
1263,600657.SH
1264,600658.SH
1265,600683.SH
1266,600689.SH
1267,600703.SH
1268,600714.SH
1269,600732.SH
1270,600755.SH
1271,600796.SH
1272,600801.SH
1273,600802.SH
1274,600807.SH
1275,600812.SH
1276,600816.SH
1277,600825.SH
1278,600829.SH
1279,600836.SH
1280,600847.SH
1281,600863.SH
1282,600869.SH
1283,600877.SH
1284,600926.SH
1285,600985.SH
1286,600996.SH
1287,601002.SH
1288,601020.SH
1289,601366.SH
1290,601999.SH
1291,603010.SH
1292,603017.SH
1293,603022.SH
1294,603039.SH
1295,603078.SH
1296,603079.SH
1297,603090.SH
1298,603127.SH
1299,603136.SH
1300,603158.SH
1301,603208.SH
1302,603227.SH
1303,603319.SH
1304,603322.SH
1305,603500.SH
1306,603536.SH
1307,603729.SH
1308,603777.SH
1309,603908.SH
1310,603936.SH
1311,000034.SZ
1312,000061.SZ
1313,000070.SZ
1314,000401.SZ
1315,000404.SZ
1316,000417.SZ
1317,000514.SZ
1318,000534.SZ
1319,000552.SZ
1320,000564.SZ
1321,000565.SZ
1322,000572.SZ
1323,000609.SZ
1324,000620.SZ
1325,000666.SZ
1326,000671.SZ
1327,000672.SZ
1328,000687.SZ
1329,000752.SZ
1330,000801.SZ
1331,000828.SZ
1332,000859.SZ
1333,000860.SZ
1334,000883.SZ
1335,000900.SZ
1336,000930.SZ
1337,000936.SZ
1338,000937.SZ
1339,000955.SZ
1340,000957.SZ
1341,000966.SZ
1342,000980.SZ
1343,002002.SZ
1344,600051.SH
1345,600071.SH
1346,600081.SH
1347,600082.SH
1348,600120.SH
1349,600150.SH
1350,600163.SH
1351,600187.SH
1352,600190.SH
1353,600192.SH
1354,600208.SH
1355,600219.SH
1356,600220.SH
1357,600240.SH
1358,600273.SH
1359,600308.SH
1360,600320.SH
1361,600328.SH
1362,600338.SH
1363,600360.SH
1364,600365.SH
1365,600372.SH
1366,600395.SH
1367,600429.SH
1368,600507.SH
1369,600527.SH
1370,600547.SH
1371,600568.SH
1372,600570.SH
1373,600603.SH
1374,600606.SH
